companyId,companyName,provider,identifier,jobCount,slugSource
fever,Fever,ASHBY,fever,0,manifest_id
fibonad,Fibonad,ASHBY,fibonad,0,manifest_id
fideltour,Fideltour,ASHBY,fideltour,0,manifest_id
fionics,Fionics,ASHBY,fionics,0,manifest_id
first-page,First Page,ASHBY,first-page,0,manifest_id
fisher-paykel-appliances,Fisher & Paykel Appliances,ASHBY,fisher-paykel-appliances,0,manifest_id
fisher-paykel-appliances,Fisher & Paykel Appliances,LEVER,fp,31,alt_slug
fistrek,Fistrek,ASHBY,fistrek,0,manifest_id
fitness-passport,Fitness Passport,ASHBY,fitness-passport,0,manifest_id
flabelus,Flabelus,ASHBY,flabelus,0,manifest_id
flowbox,Flowbox,ASHBY,flowbox,0,manifest_id
flowww,flowww,ASHBY,flowww,0,manifest_id
fluendo,Fluendo,ASHBY,fluendo,0,manifest_id
fnac-espa-a,FNAC España,ASHBY,fnac-espa-a,0,manifest_id
follett-software,Follett Software,ASHBY,follett-software,0,manifest_id
forgotten-empires,Forgotten Empires,ASHBY,forgotten-empires,0,manifest_id
formitize,Formitize,ASHBY,formitize,0,manifest_id
forwards-talent,Forwards Talent,ASHBY,forwards-talent,0,manifest_id
foster-moore-the-registry-people,Foster Moore - The registry people ®,ASHBY,foster-moore-the-registry-people,0,manifest_id
fpcm-madrid,Fundación Parque Científico de Madrid,ASHBY,fpcm-madrid,0,manifest_id
freedx,Freedx,ASHBY,freedx,0,manifest_id
fsjd,Fundació de Recerca Sant Joan de Déu,ASHBY,fsjd,0,manifest_id
fuel50,Fuel50,ASHBY,fuel50,0,manifest_id
fujitsu,Fujitsu,ASHBY,fujitsu,0,manifest_id
fulcrum-decision-fdl,Fulcrum Decision (FDL),ASHBY,fulcrum-decision-fdl,0,manifest_id
fusion5,Fusion5,ASHBY,fusion5,0,manifest_id
fusionhit,FusionHit,ASHBY,fusionhit,0,manifest_id
fynd,Fynd,ASHBY,fynd,0,manifest_id
galadrim,Galadrim,ASHBY,galadrim,0,manifest_id
gamblingcareers-com,GamblingCareers.com,ASHBY,gamblingcareers-com,0,manifest_id
garmin,Garmin,ASHBY,garmin,0,manifest_id
geeks-on-site,Geeks on Site,ASHBY,geeks-on-site,0,manifest_id
general-technologies-consulting,General Technologies Consulting,ASHBY,general-technologies-consulting,0,manifest_id
generate-kiwisaver-scheme,Generate KiwiSaver Scheme,ASHBY,generate-kiwisaver-scheme,0,manifest_id
gensrv-pty-ltd,GenSrv Pty Ltd,ASHBY,gensrv-pty-ltd,0,manifest_id
gesnaer-consulting,Gesnaer Consulting,ASHBY,gesnaer-consulting,0,manifest_id
gesti-n-de-residencias,Gestión de Residencias,ASHBY,gesti-n-de-residencias,0,manifest_id
giesecke-devrient,Giesecke+Devrient,ASHBY,giesecke-devrient,0,manifest_id
global-wave-group,Global Wave Group,ASHBY,global-wave-group,0,manifest_id
globant,Globant,ASHBY,globant,0,manifest_id
globewest,GLOBEWEST,ASHBY,globewest,0,manifest_id
glovo,Glovo,ASHBY,glovo,0,manifest_id
gmv,GMV,ASHBY,gmv,0,manifest_id
gofacing,"goFacing, Cloud videoconference & Collaboration",ASHBY,gofacing,0,manifest_id
google,Google,ASHBY,google,0,manifest_id
gopro,GoPro,ASHBY,gopro,0,manifest_id
gramian-consulting,Gramian Consulting,ASHBY,gramian-consulting,0,manifest_id
great-value-hiring,Great Value Hiring,ASHBY,great-value-hiring,0,manifest_id
greek-peak-mountain-resort,Greek Peak Mountain Resort,ASHBY,greek-peak-mountain-resort,0,manifest_id
gridsight,GRIDSIGHT,ASHBY,gridsight,0,manifest_id
growthbook,GrowthBook,ASHBY,growthbook,0,manifest_id
grupo-alonso,Grupo Alonso,ASHBY,grupo-alonso,0,manifest_id
grupo-amper,Grupo Amper,ASHBY,grupo-amper,0,manifest_id
grupo-de-prado,Grupo De Prado,ASHBY,grupo-de-prado,0,manifest_id
grupo-digital,Grupo Digital,ASHBY,grupo-digital,0,manifest_id
grupo-fire,Grupo Fire,ASHBY,grupo-fire,0,manifest_id
grupo-noria,Grupo Noria,ASHBY,grupo-noria,0,manifest_id
grupo-ns,Grupo NS,ASHBY,grupo-ns,0,manifest_id
grupo-spec,Grupo SPEC,ASHBY,grupo-spec,0,manifest_id
gs,GISPERT,ASHBY,gs,0,manifest_id
gt-motive-spain,GT Motive,ASHBY,gt-motive-spain,0,manifest_id
halcyon-knights,Halcyon Knights,ASHBY,halcyon-knights,0,manifest_id
hanwha-defence-australia,Hanwha Defence Australia,ASHBY,hanwha-defence-australia,0,manifest_id
harris-farms-ltd,Harris Farms Ltd,ASHBY,harris-farms-ltd,0,manifest_id
